 1985  10  10  00   77.50   85.00   11.00
 1985  10  10  06   75.00  285.00   11.48
 1985  10  10  12   55.00  342.50   13.53
 1985  10  10  18   50.00  180.00   12.64
 1985  10  10  18   52.50  312.50   11.02
 1985  10  10  18   72.50   70.00   11.46
 1985  10  11  06   52.50  162.50   10.06
 1985  10  11  06   62.50    0.00   19.48
 1985  10  12  00   45.00  312.50   11.80
 1985  10  12  00   55.00  250.00   11.10
 1985  10  12  18   57.50  145.00   11.56
 1985  10  13  06   47.50   97.50   10.80
 1985  10  13  12   50.00  162.50   10.15
 1985  10  13  18   72.50   15.00   11.21
 1985  10  13  18   72.50  192.50   10.42
 1985  10  14  12   42.50  327.50   10.32
 1985  10  14  12   45.00  110.00   11.92
 1985  10  14  12   75.00  217.50   10.87
 1985  10  14  18   70.00  340.00   10.72
 1985  10  15  06   72.50    7.50   12.65
 1985  10  15  12   52.50  225.00   12.42
 1985  10  15  12   72.50   17.50   17.03
 1985  10  16  00   47.50  132.50   10.01
 1985  10  16  00   57.50  150.00   10.03
 1985  10  16  00   72.50   35.00   18.06
 1985  10  16  12   55.00  217.50   10.54
 1985  10  16  18   57.50  295.00   10.65
 1985  10  17  12   50.00  262.50   10.13
 1985  10  17  12   75.00  230.00   11.89
 1985  10  17  18   77.50  225.00   13.51
 1985  10  18  00   62.50  212.50   10.53
 1985  10  18  06   77.50   57.50   12.75
 1985  10  18  12   75.00  215.00   12.16
 1985  10  19  06   70.00  355.00   10.33
 1985  10  19  12   72.50    0.00   11.17
 1985  10  19  18   60.00  180.00   13.29
 1985  10  20  00   62.50   75.00   10.81
 1985  10  20  06   57.50  247.50   11.52
 1985  10  20  12   47.50  227.50   12.03
 1985  10  20  18   65.00   42.50   10.21
 1985  10  21  00   50.00  317.50   12.75
 1985  10  21  12   62.50  267.50   11.39
 1985  10  21  18   57.50  212.50   10.81
 1985  10  21  18   80.00  195.00   12.42
 1985  10  22  12   55.00  227.50   11.71
 1985  10  22  12   57.50  165.00   11.61
 1985  10  22  18   42.50  257.50   10.47
 1985  10  23  00   67.50  250.00   10.28
 1985  10  23  06   50.00  150.00   12.20
 1985  10  23  06   72.50  355.00   12.00
 1985  10  23  12   75.00    0.00   17.99
 1985  10  24  00   47.50  320.00   10.76
 1985  10  24  06   42.50  180.00   11.10
 1985  10  24  06   67.50  342.50   13.33
 1985  10  24  12   70.00   50.00   11.61
 1985  10  25  00   72.50    0.00   20.46
 1985  10  25  06   45.00  157.50   13.81
 1985  10  25  06   72.50   10.00   25.15
 1985  10  25  18   55.00  295.00   11.36
 1985  10  26  00   47.50  222.50   14.85
 1985  10  26  00   57.50  322.50   14.74
 1985  10  26  12   60.00  212.50   11.20
 1985  10  26  12   80.00  262.50   10.07
 1985  10  26  18   47.50  180.00   10.58
 1985  10  26  18   52.50  270.00   12.71
 1985  10  27  06   25.00  267.50   10.94
 1985  10  27  06   45.00  152.50   10.17
 1985  10  27  18   50.00  110.00   10.46
 1985  10  27  18   72.50  300.00   11.87
 1985  10  28  00   35.00  162.50   11.01
 1985  10  28  00   55.00  205.00   11.70
 1985  10  28  00   72.50  295.00   12.07
 1985  10  28  00   77.50  222.50   10.10
 1985  10  28  18   50.00  302.50   11.87
 1985  10  28  18   55.00  255.00   11.78
 1985  10  28  18   72.50  345.00   11.04
 1985  10  29  18   42.50  110.00   10.79
 1985  10  31  00   42.50  320.00   10.01
 1985  10  31  06   80.00   12.50   10.27
 1985  10  31  12   70.00  340.00   11.93
 1985  10  31  18   72.50    0.00   12.42
 1986  08  01  06   80.00    7.50   10.05
 1986  08  01  18   57.50  190.00   10.90
 1986  08  02  00   80.00  197.50   11.94
 1986  08  02  18   67.50   87.50   10.36
 1986  08  03  00   60.00    0.00   12.06
 1986  08  03  00   72.50  295.00   10.43
