atl_id	date	time	lat	lon	domain_latMin	domain_latMax	domain_lonMin	domain_lonMax
atl_178	1994-02-23	00:00	42.5	310	30	60	280	400
atl_179	1994-02-24	18:00	42.5	292.5	30	60	262.5	382.5
atl_180	1994-02-26	18:00	40	292.5	30	60	262.5	382.5
atl_181	1994-03-03	06:00	42.5	320	30	60	290	410
atl_182	1994-03-12	00:00	42.5	297.5	30	60	267.5	387.5
atl_183	1994-03-23	00:00	42.5	292.5	30	60	262.5	382.5
atl_184	1994-03-30	06:00	42.5	305	30	60	275	395
atl_185	1994-03-30	18:00	45	315	30	60	285	405
atl_186	1994-11-08	06:00	40	315	30	60	285	405
atl_187	1994-11-25	00:00	42.5	312.5	30	60	282.5	402.5
atl_188	1994-11-29	00:00	45	295	30	60	265	385
atl_189	1994-11-29	18:00	42.5	337.5	30	60	307.5	427.5
atl_190	1994-12-06	06:00	45	295	30	60	265	385
atl_191	1994-12-11	18:00	45	292.5	30	60	262.5	382.5
atl_192	1994-12-19	06:00	42.5	295	30	60	265	385
atl_193	1994-12-29	06:00	45	292.5	30	60	262.5	382.5
atl_194	1995-01-02	06:00	45	300	30	60	270	390
atl_195	1995-02-03	18:00	45	312.5	30	60	282.5	402.5
atl_196	1995-02-09	06:00	45	310	30	60	280	400
atl_197	1995-03-19	00:00	45	302.5	30	60	272.5	392.5
atl_198	1995-03-19	06:00	40	325	30	60	295	415
atl_199	1995-03-23	18:00	45	302.5	30	60	272.5	392.5
atl_200	1995-11-02	18:00	45	320	30	60	290	410
atl_201	1995-11-17	18:00	45	337.5	30	60	307.5	427.5
atl_202	1995-11-20	06:00	40	300	30	60	270	390
atl_203	1995-12-01	06:00	42.5	315	30	60	285	405
atl_204	1995-12-02	06:00	45	297.5	30	60	267.5	387.5
atl_205	1995-12-10	06:00	42.5	292.5	30	60	262.5	382.5
atl_206	1995-12-12	00:00	45	307.5	30	60	277.5	397.5
atl_207	1995-12-15	00:00	42.5	312.5	30	60	282.5	402.5
atl_208	1995-12-18	00:00	42.5	337.5	30	60	307.5	427.5
atl_209	1995-12-20	06:00	40	290	30	60	260	380
atl_210	1996-01-10	18:00	40	295	30	60	265	385
atl_211	1996-01-13	00:00	40	287.5	30	60	257.5	377.5
atl_212	1996-01-22	06:00	45	345	30	60	315	435
atl_213	1996-02-03	18:00	40	295	30	60	265	385
atl_214	1996-02-11	18:00	45	287.5	30	60	257.5	377.5
atl_215	1996-02-15	06:00	42.5	297.5	30	60	267.5	387.5
atl_216	1996-02-25	06:00	45	295	30	60	265	385
atl_217	1996-02-27	06:00	42.5	310	30	60	280	400
atl_218	1996-03-02	18:00	40	292.5	30	60	262.5	382.5
atl_219	1996-03-08	00:00	40	290	30	60	260	380
atl_220	1996-03-16	06:00	42.5	292.5	30	60	262.5	382.5
atl_221	1996-03-23	06:00	45	340	30	60	310	430
atl_222	1996-03-26	18:00	42.5	330	30	60	300	420
atl_223	1996-11-03	06:00	42.5	297.5	30	60	267.5	387.5
atl_224	1996-11-15	18:00	40	302.5	30	60	272.5	392.5
atl_225	1996-11-24	00:00	42.5	310	30	60	280	400
atl_226	1996-11-27	18:00	42.5	300	30	60	270	390
atl_227	1996-12-08	06:00	40	290	30	60	260	380
atl_228	1996-12-16	00:00	45	330	30	60	300	420
atl_229	1996-12-19	18:00	42.5	345	30	60	315	435
atl_230	1996-12-20	06:00	45	292.5	30	60	262.5	382.5
atl_231	1997-01-01	18:00	42.5	315	30	60	285	405
atl_232	1997-01-04	00:00	42.5	312.5	30	60	282.5	402.5
atl_233	1997-01-07	06:00	42.5	345	30	60	315	435
atl_234	1997-01-08	18:00	42.5	320	30	60	290	410
atl_235	1997-01-10	06:00	42.5	330	30	60	300	420
atl_236	1997-01-19	06:00	42.5	302.5	30	60	272.5	392.5
atl_237	1997-01-21	18:00	42.5	305	30	60	275	395
atl_238	1997-02-05	00:00	42.5	315	30	60	285	405
atl_239	1997-02-06	00:00	45	295	30	60	265	385
atl_240	1997-02-14	00:00	45	312.5	30	60	282.5	402.5
atl_241	1997-02-18	00:00	40	305	30	60	275	395
atl_242	1997-02-18	06:00	42.5	315	30	60	285	405
atl_243	1997-02-20	06:00	45	295	30	60	265	385
atl_244	1997-03-05	06:00	40	310	30	60	280	400
atl_245	1997-03-06	06:00	40	285	30	60	255	375
atl_246	1997-03-11	06:00	42.5	297.5	30	60	267.5	387.5
atl_247	1997-03-23	00:00	42.5	300	30	60	270	390
atl_248	1997-03-31	18:00	40	287.5	30	60	257.5	377.5
atl_249	1997-11-02	06:00	40	340	30	60	310	430
atl_250	1997-11-17	00:00	42.5	302.5	30	60	272.5	392.5
atl_251	1997-11-23	00:00	42.5	300	30	60	270	390
atl_252	1997-11-27	06:00	42.5	290	30	60	260	380
atl_253	1997-11-30	06:00	42.5	317.5	30	60	287.5	407.5
atl_254	1997-12-15	00:00	40	337.5	30	60	307.5	427.5
atl_255	1997-12-21	06:00	45	320	30	60	290	410
atl_256	1997-12-23	18:00	40	292.5	30	60	262.5	382.5
atl_257	1997-12-24	00:00	42.5	320	30	60	290	410
atl_258	1998-01-10	00:00	42.5	340	30	60	310	430
atl_259	1998-01-14	06:00	45	297.5	30	60	267.5	387.5
atl_260	1998-01-17	00:00	40	295	30	60	265	385
atl_261	1998-01-25	00:00	45	292.5	30	60	262.5	382.5
atl_262	1998-02-01	18:00	40	342.5	30	60	312.5	432.5
atl_263	1998-02-10	00:00	45	322.5	30	60	292.5	412.5
atl_264	1998-02-15	06:00	40	310	30	60	280	400
atl_265	1998-03-03	18:00	42.5	300	30	60	270	390
atl_266	1998-03-06	06:00	40	307.5	30	60	277.5	397.5
atl_267	1998-03-15	06:00	45	295	30	60	265	385
atl_268	1998-03-19	06:00	40	320	30	60	290	410
atl_269	1998-03-21	00:00	45	305	30	60	275	395
atl_270	1998-03-22	06:00	40	292.5	30	60	262.5	382.5
atl_271	1998-03-29	00:00	45	325	30	60	295	415
atl_272	1998-11-16	00:00	45	302.5	30	60	272.5	392.5
atl_273	1998-11-27	00:00	42.5	290	30	60	260	380
atl_274	1998-12-01	06:00	40	325	30	60	295	415
atl_275	1998-12-05	18:00	45	320	30	60	290	410
atl_276	1998-12-10	06:00	42.5	320	30	60	290	410
atl_277	1998-12-14	18:00	40	305	30	60	275	395
atl_278	1998-12-24	18:00	40	297.5	30	60	267.5	387.5
atl_279	1998-12-27	06:00	42.5	302.5	30	60	272.5	392.5
atl_280	1999-02-04	18:00	45	322.5	30	60	292.5	412.5
atl_281	1999-02-09	18:00	45	315	30	60	285	405
atl_282	1999-02-21	06:00	45	300	30	60	270	390
atl_283	1999-03-01	06:00	40	290	30	60	260	380
