wnp_id	date	time	lat	lon	domain_latMin	domain_latMax	domain_lonMin	domain_lonMax
wnp_149	1990-03-08	06:00	42.5	150	30	60	120	240
wnp_150	1990-03-09	06:00	45	170	30	60	140	260
wnp_151	1990-03-12	06:00	40	142.5	30	60	112.5	232.5
wnp_152	1990-03-22	18:00	42.5	172.5	30	60	142.5	262.5
wnp_153	1990-11-20	06:00	42.5	137.5	30	60	107.5	227.5
wnp_154	1990-12-09	06:00	42.5	187.5	30	60	157.5	277.5
wnp_155	1990-12-27	00:00	40	150	30	60	120	240
wnp_156	1990-12-31	18:00	42.5	185	30	60	155	275
wnp_157	1991-01-05	00:00	45	172.5	30	60	142.5	262.5
wnp_158	1991-01-08	18:00	42.5	190	30	60	160	280
wnp_159	1991-01-14	06:00	40	182.5	30	60	152.5	272.5
wnp_160	1991-01-18	00:00	40	150	30	60	120	240
wnp_161	1991-01-25	18:00	40	150	30	60	120	240
wnp_162	1991-01-31	06:00	40	195	30	60	165	285
wnp_163	1991-02-03	18:00	45	165	30	60	135	255
wnp_164	1991-02-05	18:00	42.5	160	30	60	130	250
wnp_165	1991-02-11	06:00	40	150	30	60	120	240
wnp_166	1991-02-24	06:00	42.5	165	30	60	135	255
wnp_167	1991-02-28	06:00	45	140	30	60	110	230
wnp_168	1991-03-29	06:00	42.5	160	30	60	130	250
wnp_169	1991-11-01	00:00	40	177.5	30	60	147.5	267.5
wnp_170	1991-12-11	18:00	42.5	155	30	60	125	245
wnp_171	1991-12-18	18:00	40	155	30	60	125	245
wnp_172	1991-12-28	00:00	40	135	30	60	105	225
wnp_173	1992-01-14	18:00	40	167.5	30	60	137.5	257.5
wnp_174	1992-01-23	00:00	42.5	157.5	30	60	127.5	247.5
wnp_175	1992-01-23	18:00	40	175	30	60	145	265
wnp_176	1992-01-24	18:00	42.5	195	30	60	165	285
wnp_177	1992-01-30	00:00	40	167.5	30	60	137.5	257.5
wnp_178	1992-02-04	18:00	42.5	155	30	60	125	245
wnp_179	1992-02-06	18:00	40	172.5	30	60	142.5	262.5
wnp_180	1992-02-10	18:00	45	145	30	60	115	235
wnp_181	1992-02-15	00:00	40	172.5	30	60	142.5	262.5
wnp_182	1992-02-16	00:00	45	142.5	30	60	112.5	232.5
wnp_183	1992-02-23	06:00	45	160	30	60	130	250
wnp_184	1992-02-29	18:00	40	182.5	30	60	152.5	272.5
wnp_185	1992-03-04	18:00	42.5	182.5	30	60	152.5	272.5
wnp_186	1992-03-16	06:00	42.5	157.5	30	60	127.5	247.5
wnp_187	1992-03-27	00:00	45	160	30	60	130	250
wnp_188	1992-11-11	00:00	42.5	192.5	30	60	162.5	282.5
wnp_189	1992-11-19	18:00	45	142.5	30	60	112.5	232.5
wnp_190	1992-11-20	06:00	40	185	30	60	155	275
wnp_191	1992-11-23	06:00	45	142.5	30	60	112.5	232.5
wnp_192	1992-12-02	18:00	40	160	30	60	130	250
wnp_193	1992-12-08	00:00	42.5	142.5	30	60	112.5	232.5
wnp_194	1992-12-12	06:00	45	162.5	30	60	132.5	252.5
wnp_195	1992-12-13	06:00	40	135	30	60	105	225
wnp_196	1992-12-17	18:00	40	162.5	30	60	132.5	252.5
wnp_197	1992-12-18	18:00	45	180	30	60	150	270
wnp_198	1992-12-22	06:00	45	140	30	60	110	230
wnp_199	1992-12-24	00:00	45	162.5	30	60	132.5	252.5
wnp_200	1992-12-29	18:00	42.5	175	30	60	145	265
wnp_201	1992-12-31	18:00	45	157.5	30	60	127.5	247.5
wnp_202	1993-01-05	18:00	40	165	30	60	135	255
wnp_203	1993-01-08	00:00	40	152.5	30	60	122.5	242.5
wnp_204	1993-01-13	00:00	45	180	30	60	150	270
wnp_205	1993-01-18	18:00	42.5	137.5	30	60	107.5	227.5
wnp_206	1993-01-20	00:00	42.5	155	30	60	125	245
wnp_207	1993-01-23	00:00	45	190	30	60	160	280
wnp_208	1993-01-28	06:00	42.5	145	30	60	115	235
wnp_209	1993-01-31	18:00	42.5	170	30	60	140	260
wnp_210	1993-02-06	18:00	45	157.5	30	60	127.5	247.5
wnp_211	1993-02-07	18:00	40	152.5	30	60	122.5	242.5
wnp_212	1993-02-11	06:00	42.5	192.5	30	60	162.5	282.5
wnp_213	1993-02-15	06:00	45	187.5	30	60	157.5	277.5
wnp_214	1993-02-21	00:00	42.5	177.5	30	60	147.5	267.5
wnp_215	1993-02-22	18:00	40	135	30	60	105	225
wnp_216	1993-02-25	18:00	45	175	30	60	145	265
wnp_217	1993-02-28	18:00	42.5	160	30	60	130	250
wnp_218	1993-03-13	06:00	42.5	182.5	30	60	152.5	272.5
wnp_219	1993-11-04	18:00	45	145	30	60	115	235
wnp_220	1993-11-07	18:00	42.5	170	30	60	140	260
wnp_221	1993-11-15	00:00	42.5	147.5	30	60	117.5	237.5
wnp_222	1993-11-24	00:00	45	152.5	30	60	122.5	242.5
wnp_223	1993-12-01	18:00	42.5	155	30	60	125	245
wnp_224	1993-12-11	06:00	40	152.5	30	60	122.5	242.5
wnp_225	1993-12-16	18:00	42.5	137.5	30	60	107.5	227.5
wnp_226	1993-12-19	00:00	42.5	185	30	60	155	275
wnp_227	1993-12-20	18:00	45	187.5	30	60	157.5	277.5
wnp_228	1993-12-23	06:00	45	170	30	60	140	260
wnp_229	1993-12-27	06:00	40	147.5	30	60	117.5	237.5
wnp_230	1993-12-31	00:00	45	145	30	60	115	235
wnp_231	1994-01-08	06:00	40	195	30	60	165	285
wnp_232	1994-01-20	06:00	45	172.5	30	60	142.5	262.5
wnp_233	1994-01-22	00:00	40	157.5	30	60	127.5	247.5
wnp_234	1994-01-24	06:00	42.5	157.5	30	60	127.5	247.5
wnp_235	1994-01-25	18:00	42.5	190	30	60	160	280
wnp_236	1994-01-27	06:00	40	157.5	30	60	127.5	247.5
wnp_237	1994-02-09	18:00	42.5	152.5	30	60	122.5	242.5
wnp_238	1994-02-19	00:00	42.5	172.5	30	60	142.5	262.5
wnp_239	1994-02-23	06:00	40	170	30	60	140	260
wnp_240	1994-03-04	06:00	40	185	30	60	155	275
wnp_241	1994-03-08	18:00	45	140	30	60	110	230
wnp_242	1994-03-10	06:00	45	155	30	60	125	245
wnp_243	1994-03-17	18:00	42.5	152.5	30	60	122.5	242.5
wnp_244	1994-11-11	00:00	40	162.5	30	60	132.5	252.5
wnp_245	1994-11-19	06:00	42.5	150	30	60	120	240
wnp_246	1994-11-23	00:00	42.5	157.5	30	60	127.5	247.5
wnp_247	1994-11-25	06:00	45	140	30	60	110	230
wnp_248	1994-12-02	06:00	40	180	30	60	150	270
wnp_249	1994-12-05	18:00	42.5	162.5	30	60	132.5	252.5
wnp_250	1994-12-09	06:00	42.5	145	30	60	115	235
wnp_251	1994-12-14	00:00	45	160	30	60	130	250
wnp_252	1994-12-25	06:00	45	152.5	30	60	122.5	242.5
wnp_253	1994-12-25	18:00	42.5	167.5	30	60	137.5	257.5
wnp_254	1995-01-04	18:00	42.5	157.5	30	60	127.5	247.5
wnp_255	1995-01-07	06:00	42.5	172.5	30	60	142.5	262.5
wnp_256	1995-01-08	00:00	40	157.5	30	60	127.5	247.5
wnp_257	1995-01-09	06:00	42.5	137.5	30	60	107.5	227.5
wnp_258	1995-01-12	06:00	45	170	30	60	140	260
wnp_259	1995-01-13	18:00	40	165	30	60	135	255
wnp_260	1995-01-15	18:00	42.5	195	30	60	165	285
wnp_261	1995-01-19	06:00	42.5	150	30	60	120	240
wnp_262	1995-01-30	06:00	45	145	30	60	115	235
wnp_263	1995-02-14	00:00	45	185	30	60	155	275
wnp_264	1995-02-16	18:00	40	150	30	60	120	240
wnp_265	1995-02-19	06:00	45	157.5	30	60	127.5	247.5
wnp_266	1995-03-13	18:00	42.5	185	30	60	155	275
wnp_267	1995-03-15	00:00	40	182.5	30	60	152.5	272.5
wnp_268	1995-03-19	00:00	45	157.5	30	60	127.5	247.5
wnp_269	1995-11-14	06:00	45	140	30	60	110	230
wnp_270	1995-11-21	06:00	45	157.5	30	60	127.5	247.5
wnp_271	1995-11-24	00:00	42.5	147.5	30	60	117.5	237.5
